height,width,iterations,precision,skip_cpu,device_index,block_size,cpu_iteration,gpu_iteration,gpu_iteration_setup,gpu_iteration_alloc,gpu_iteration_to,gpu_iteration_comp,gpu_iteration_from,iteratation_diff,iteration_disc,cpu_average,gpu_average,gpu_average_setup,gpu_average_alloc,gpu_average_to,gpu_average_comp,gpu_average_from,average_diff,average_disc,cpu_average_val,gpu_average_val
960,960,1000,32,0,0,256,3.906398e-01,8.193016e-03,5.920000e-06,1.789760e-04,1.091200e-05,6.007872e-03,1.733344e-03,2.689275e-07,0,3.581047e-04,1.381159e-03,4.608000e-06,2.737920e-04,6.992000e-04,1.057920e-04,1.200000e-05,9.007101e-07,0,3.264948e-01,3.264951e-01
960,960,1000,32,0,0,256,3.913300e-01,8.257866e-03,5.536000e-06,1.753280e-04,1.068800e-05,6.004000e-03,1.801120e-03,2.689275e-07,0,3.271103e-04,1.358032e-03,3.584000e-06,2.633920e-04,7.023680e-04,1.063680e-04,1.241600e-05,9.040926e-07,0,3.264948e-01,3.264951e-01
960,960,1000,32,0,0,256,3.909009e-01,8.194923e-03,5.408000e-06,1.845440e-04,1.081600e-05,6.005184e-03,1.731072e-03,2.689275e-07,0,3.299713e-04,1.346827e-03,3.424000e-06,2.632000e-04,6.976960e-04,1.041280e-04,1.139200e-05,9.068259e-07,0,3.264948e-01,3.264951e-01
1920,1920,1000,32,0,0,256,1.537429e+00,2.784705e-02,5.920000e-06,2.182080e-04,1.110400e-05,2.059933e-02,6.438304e-03,1.341429e-07,0,1.397848e-03,3.687859e-03,3.648000e-06,3.226240e-04,2.508864e-03,1.972160e-04,1.792000e-05,1.873659e-06,0,1.631936e-01,1.631951e-01
1920,1920,1000,32,0,0,256,1.517002e+00,2.804589e-02,5.664000e-06,2.276480e-04,1.072000e-05,2.059187e-02,6.588896e-03,1.341429e-07,0,1.445055e-03,3.709793e-03,4.320000e-06,3.411200e-04,2.506272e-03,1.940800e-04,1.852800e-05,1.873472e-06,0,1.631936e-01,1.631951e-01
1920,1920,1000,32,0,0,256,1.525182e+00,2.784085e-02,9.952000e-06,2.068480e-04,1.120000e-05,2.058947e-02,6.468128e-03,1.341429e-07,0,1.363993e-03,3.631830e-03,4.160000e-06,3.233600e-04,2.477632e-03,1.934720e-04,1.865600e-05,1.875242e-06,0,1.631936e-01,1.631951e-01
3840,3840,1000,32,0,0,256,6.075640e+00,1.009881e-01,5.760000e-06,2.421440e-04,1.052800e-05,7.397881e-02,2.543846e-02,6.718198e-08,0,5.474806e-03,1.197410e-02,4.256000e-06,4.118720e-04,9.843487e-03,3.416640e-04,2.051200e-05,2.740795e-06,0,8.160665e-02,8.160885e-02
3840,3840,1000,32,0,0,256,6.111342e+00,1.007791e-01,5.856000e-06,2.317440e-04,1.056000e-05,7.397747e-02,2.525421e-02,6.718198e-08,0,5.156994e-03,1.174808e-02,4.032000e-06,3.782080e-04,9.608928e-03,3.684480e-04,2.134400e-05,2.740725e-06,0,8.160665e-02,8.160884e-02
3840,3840,1000,32,0,0,256,6.104199e+00,1.015792e-01,5.632000e-06,2.634240e-04,1.123200e-05,7.446582e-02,2.523110e-02,6.718198e-08,0,5.545139e-03,1.188302e-02,3.296000e-06,3.783040e-04,9.417120e-03,3.896640e-04,2.153600e-05,2.741457e-06,0,8.160665e-02,8.160885e-02
7680,7680,1000,32,0,0,256,2.600018e+01,4.065528e-01,5.440000e-06,3.788480e-04,1.084800e-05,3.037428e-01,1.009358e-01,3.347180e-08,0,2.108598e-02,4.055405e-02,2.816000e-06,6.420480e-04,3.753318e-02,8.536960e-04,2.531200e-05,3.176065e-06,0,4.082914e-02,4.083166e-02
