height,width,iterations,precision,skip_cpu,device_index,block_size,cpu_iteration,gpu_iteration,gpu_iteration_setup,gpu_iteration_alloc,gpu_iteration_to,gpu_iteration_comp,gpu_iteration_from,iteratation_diff,iteration_disc,cpu_average,gpu_average,gpu_average_setup,gpu_average_alloc,gpu_average_to,gpu_average_comp,gpu_average_from,average_diff,average_disc,cpu_average_val,gpu_average_val
960,960,1000,64,0,0,256,5.438812e-01,4.774094e-02,6.048000e-06,2.365760e-04,1.184000e-05,4.376371e-02,3.335776e-03,6.993029e-09,0,5.071163e-04,2.336025e-03,4.480000e-06,3.155200e-04,1.293888e-03,3.184640e-04,1.638400e-05,6.983011e-09,0,3.264949e-01,3.264949e-01
960,960,1000,64,0,0,256,5.432281e-01,4.767609e-02,5.920000e-06,2.118400e-04,1.078400e-05,4.375200e-02,3.314656e-03,6.993029e-09,0,4.999638e-04,2.346039e-03,3.296000e-06,2.898880e-04,1.321728e-03,3.207680e-04,1.523200e-05,6.983011e-09,0,3.264949e-01,3.264949e-01
960,960,1000,64,0,0,256,5.477579e-01,4.771996e-02,5.952000e-06,2.056960e-04,1.113600e-05,4.375642e-02,3.373216e-03,6.993029e-09,0,5.228519e-04,2.334833e-03,3.840000e-06,2.962560e-04,1.292768e-03,3.183680e-04,1.548800e-05,6.983011e-09,0,3.264949e-01,3.264949e-01
1920,1920,1000,64,0,0,256,2.163155e+00,1.704381e-01,6.080000e-06,2.293120e-04,1.084800e-05,1.564059e-01,1.285613e-02,3.468497e-09,0,2.043009e-03,7.005930e-03,4.160000e-06,3.647040e-04,5.018240e-03,6.141760e-04,2.070400e-05,3.462382e-09,0,1.631950e-01,1.631950e-01
1920,1920,1000,64,0,0,256,2.151473e+00,1.705520e-01,6.048000e-06,2.303680e-04,1.088000e-05,1.565633e-01,1.282899e-02,3.468497e-09,0,2.047062e-03,6.816864e-03,4.736000e-06,3.719680e-04,4.835968e-03,6.094720e-04,2.086400e-05,3.462382e-09,0,1.631950e-01,1.631950e-01
1920,1920,1000,64,0,0,256,2.189360e+00,1.701410e-01,6.048000e-06,2.116480e-04,1.436800e-05,1.563032e-01,1.269594e-02,3.468497e-09,0,2.061129e-03,6.791115e-03,4.192000e-06,3.633920e-04,4.807008e-03,6.129600e-04,2.028800e-05,3.462382e-09,0,1.631950e-01,1.631950e-01
3840,3840,1000,64,0,0,256,9.227563e+00,5.830121e-01,5.824000e-06,2.866560e-04,1.094400e-05,5.311357e-01,5.017002e-02,1.737818e-09,0,7.956028e-03,2.182698e-02,4.672000e-06,5.041600e-04,1.883530e-02,1.039232e-03,2.534400e-05,1.733634e-09,0,8.160884e-02,8.160884e-02
3840,3840,1000,64,0,0,256,9.219785e+00,5.701220e-01,9.088000e-06,2.908160e-04,1.056000e-05,5.173994e-01,4.988522e-02,1.737818e-09,0,7.887840e-03,2.280593e-02,3.232000e-06,4.294720e-04,1.876522e-02,1.044384e-03,2.521600e-05,1.733634e-09,0,8.160884e-02,8.160884e-02
3840,3840,1000,64,0,0,256,9.301884e+00,5.557680e-01,5.920000e-06,2.952640e-04,4.086400e-05,5.032821e-01,5.066368e-02,1.737818e-09,0,8.189201e-03,2.209020e-02,4.160000e-06,5.349440e-04,1.904486e-02,1.049440e-03,2.684800e-05,1.733634e-09,0,8.160884e-02,8.160884e-02
7680,7680,1000,64,0,0,256,3.675743e+01,2.260094e+00,6.048000e-06,5.576000e-04,1.136000e-05,2.057556e+00,2.002112e-01,8.707058e-10,0,3.715992e-02,8.092022e-02,3.456000e-06,9.884799e-04,7.574803e-02,2.443168e-03,3.459200e-05,8.674904e-10,0,4.083167e-02,4.083166e-02
7680,7680,1000,64,0,0,256,3.672700e+01,2.268964e+00,5.664000e-06,5.542080e-04,1.164800e-05,2.066646e+00,2.000425e-01,8.707058e-10,0,3.694391e-02,8.018303e-02,2.944000e-06,9.639360e-04,7.504502e-02,2.430816e-03,3.488000e-05,8.674904e-10,0,4.083167e-02,4.083166e-02
7680,7680,1000,64,0,0,256,3.682800e+01,2.250574e+00,6.144000e-06,5.620160e-04,1.110400e-05,2.048760e+00,1.995090e-01,8.707058e-10,0,3.732491e-02,8.371592e-02,3.200000e-06,9.701120e-04,7.856259e-02,2.429696e-03,3.568000e-05,8.674904e-10,0,4.083167e-02,4.083166e-02
15360,15360,1000,64,0,0,256,1.507059e+02,8.907668e+00,6.304000e-06,1.565088e-03,1.888000e-05,8.101716e+00,8.003455e-01,4.368775e-10,0,1.557500e-01,3.235331e-01,2.976000e-06,2.944384e-03,3.106808e-01,6.010048e-03,5.203200e-05,4.341571e-10,0,2.044706e-02,2.044706e-02
15360,15360,1000,64,0,0,256,1.531445e+02,8.954984e+00,8.640000e-06,1.613408e-03,1.520000e-05,8.094364e+00,8.558426e-01,4.368775e-10,0,1.504240e-01,3.175039e-01,2.880000e-06,3.087648e-03,3.054557e-01,5.980672e-03,5.228800e-05,4.341571e-10,0,2.044706e-02,2.044706e-02
15360,15360,1000,64,0,0,256,1.611652e+02,8.893681e+00,6.272000e-06,1.593216e-03,1.878400e-05,8.084568e+00,8.044863e-01,4.368775e-10,0,1.459961e-01,3.229630e-01,3.168000e-06,2.845568e-03,3.112581e-01,5.999104e-03,5.072000e-05,4.341571e-10,0,2.044706e-02,2.044706e-02
960,960,1000,64,1,0,32,0.000000e+00,4.212379e-02,5.984000e-06,2.514240e-04,1.654400e-05,3.798342e-02,3.490752e-03,3.264949e-01,921600,0.000000e+00,2.100945e-03,3.424000e-06,3.088640e-04,1.289664e-03,5.184000e-05,1.513600e-05,3.264949e-01,960,0.000000e+00,3.264949e-01
960,960,1000,64,1,0,32,0.000000e+00,4.234290e-02,6.208000e-06,3.184640e-04,1.430400e-05,3.799350e-02,3.565440e-03,3.264949e-01,921600,0.000000e+00,2.191067e-03,4.128000e-06,3.174720e-04,1.329824e-03,4.854400e-05,1.513600e-05,3.264949e-01,960,0.000000e+00,3.264949e-01
960,960,1000,64,1,0,32,0.000000e+00,4.256415e-02,8.832000e-06,2.342720e-04,1.094400e-05,3.799891e-02,3.880480e-03,3.264949e-01,921600,0.000000e+00,2.370834e-03,4.416000e-06,3.210880e-04,1.458144e-03,5.961600e-05,2.691200e-05,3.264949e-01,960,0.000000e+00,3.264949e-01
960,960,1000,64,1,0,256,0.000000e+00,4.769897e-02,5.920000e-06,2.098240e-04,1.452800e-05,4.374963e-02,3.292960e-03,3.264949e-01,921600,0.000000e+00,2.306938e-03,4.320000e-06,2.839040e-04,1.281600e-03,3.167360e-04,1.564800e-05,3.264949e-01,960,0.000000e+00,3.264949e-01
960,960,1000,64,1,0,256,0.000000e+00,4.848504e-02,6.080000e-06,2.504000e-04,1.142400e-05,4.377245e-02,3.981824e-03,3.264949e-01,921600,0.000000e+00,2.704144e-03,4.096000e-06,3.599360e-04,1.539936e-03,3.289280e-04,1.628800e-05,3.264949e-01,960,0.000000e+00,3.264949e-01
960,960,1000,64,1,0,256,0.000000e+00,4.834199e-02,7.296000e-06,4.203200e-04,1.478400e-05,4.376493e-02,3.711168e-03,3.264949e-01,921600,0.000000e+00,2.460003e-03,1.228800e-05,3.057600e-04,1.351616e-03,3.194560e-04,1.644800e-05,3.264949e-01,960,0.000000e+00,3.264949e-01
1920,1920,1000,64,1,0,32,0.000000e+00,2.304192e-01,5.568000e-06,2.172480e-04,1.033600e-05,2.167563e-01,1.257600e-02,1.631950e-01,3686400,0.000000e+00,6.097078e-03,4.160000e-06,3.337280e-04,4.782976e-03,9.833600e-05,2.105600e-05,1.631950e-01,1920,0.000000e+00,1.631950e-01
1920,1920,1000,64,1,0,32,0.000000e+00,2.288721e-01,6.272000e-06,2.428480e-04,1.478400e-05,2.148877e-01,1.287059e-02,1.631950e-01,3686400,0.000000e+00,6.145000e-03,1.299200e-05,3.665600e-04,4.786176e-03,9.856000e-05,2.118400e-05,1.631950e-01,1920,0.000000e+00,1.631950e-01
1920,1920,1000,64,1,0,32,0.000000e+00,2.302108e-01,6.048000e-06,2.216320e-04,1.123200e-05,2.163268e-01,1.284454e-02,1.631950e-01,3686400,0.000000e+00,6.107807e-03,4.352000e-06,3.330240e-04,4.782624e-03,9.875200e-05,2.054400e-05,1.631950e-01,1920,0.000000e+00,1.631950e-01
1920,1920,1000,64,1,0,256,0.000000e+00,1.700780e-01,5.728000e-06,2.256000e-04,1.072000e-05,1.561527e-01,1.277558e-02,1.631950e-01,3686400,0.000000e+00,6.572008e-03,4.544000e-06,3.272640e-04,4.848480e-03,5.155200e-04,2.035200e-05,1.631950e-01,1920,0.000000e+00,1.631950e-01
1920,1920,1000,64,1,0,256,0.000000e+00,1.700101e-01,6.048000e-06,2.201280e-04,1.068800e-05,1.561694e-01,1.268486e-02,1.631950e-01,3686400,0.000000e+00,6.767988e-03,4.224000e-06,3.270080e-04,4.823936e-03,6.142720e-04,2.070400e-05,1.631950e-01,1920,0.000000e+00,1.631950e-01
1920,1920,1000,64,1,0,256,0.000000e+00,1.706479e-01,6.112000e-06,3.010240e-04,1.241600e-05,1.562023e-01,1.312656e-02,1.631950e-01,3686400,0.000000e+00,6.947994e-03,4.768000e-06,3.784320e-04,5.002944e-03,6.136000e-04,2.153600e-05,1.631950e-01,1920,0.000000e+00,1.631950e-01
3840,3840,1000,64,1,0,32,0.000000e+00,1.462279e+00,6.400000e-06,3.550080e-04,1.267200e-05,1.408750e+00,5.171046e-02,8.160884e-02,14745600,0.000000e+00,2.263212e-02,4.768000e-06,5.655040e-04,2.025667e-02,2.833920e-04,3.699200e-05,8.160884e-02,3840,0.000000e+00,8.160884e-02
3840,3840,1000,64,1,0,32,0.000000e+00,1.470952e+00,5.760000e-06,2.780480e-04,1.088000e-05,1.418497e+00,5.065443e-02,8.160884e-02,14745600,0.000000e+00,2.115512e-02,4.768000e-06,5.104640e-04,1.887830e-02,2.828480e-04,2.579200e-05,8.160884e-02,3840,0.000000e+00,8.160884e-02
3840,3840,1000,64,1,0,32,0.000000e+00,1.466615e+00,6.144000e-06,2.853440e-04,1.424000e-05,1.411036e+00,5.384051e-02,8.160884e-02,14745600,0.000000e+00,2.107620e-02,4.288000e-06,5.112000e-04,1.882445e-02,2.829440e-04,2.512000e-05,8.160884e-02,3840,0.000000e+00,8.160884e-02
3840,3840,1000,64,1,0,256,0.000000e+00,5.713482e-01,5.856000e-06,3.010880e-04,1.062400e-05,5.189168e-01,5.072835e-02,8.160884e-02,14745600,0.000000e+00,2.193308e-02,4.256000e-06,5.296000e-04,1.892119e-02,1.037504e-03,2.521600e-05,8.160884e-02,3840,0.000000e+00,8.160884e-02
3840,3840,1000,64,1,0,256,0.000000e+00,5.708430e-01,9.152000e-06,2.753920e-04,1.075200e-05,5.181398e-01,5.102227e-02,8.160884e-02,14745600,0.000000e+00,2.177596e-02,5.728000e-06,4.857280e-04,1.881222e-02,1.036928e-03,2.553600e-05,8.160884e-02,3840,0.000000e+00,8.160884e-02
3840,3840,1000,64,1,0,256,0.000000e+00,5.673420e-01,5.760000e-06,2.662080e-04,1.107200e-05,5.153317e-01,5.033837e-02,8.160884e-02,14745600,0.000000e+00,2.187300e-02,1.260800e-05,4.985920e-04,1.889232e-02,1.039456e-03,2.537600e-05,8.160884e-02,3840,0.000000e+00,8.160884e-02
7680,7680,1000,64,1,0,32,0.000000e+00,5.776599e+00,5.696000e-06,5.539520e-04,1.145600e-05,5.572995e+00,2.012180e-01,4.083166e-02,58982400,0.000000e+00,7.882094e-02,3.456000e-06,9.723520e-04,7.505117e-02,1.036064e-03,3.462400e-05,4.083166e-02,7680,0.000000e+00,4.083166e-02
7680,7680,1000,64,1,0,32,0.000000e+00,5.770887e+00,5.824000e-06,6.210880e-04,1.225600e-05,5.565418e+00,2.029424e-01,4.083166e-02,58982400,0.000000e+00,8.353400e-02,3.744000e-06,1.001376e-03,7.975555e-02,1.032992e-03,3.430400e-05,4.083166e-02,7680,0.000000e+00,4.083166e-02
7680,7680,1000,64,1,0,32,0.000000e+00,5.781589e+00,6.272000e-06,6.328000e-04,1.305600e-05,5.574708e+00,2.043468e-01,4.083166e-02,58982400,0.000000e+00,7.907796e-02,4.736000e-06,9.630720e-04,7.534109e-02,1.033856e-03,3.430400e-05,4.083166e-02,7680,0.000000e+00,4.083166e-02
7680,7680,1000,64,1,0,256,0.000000e+00,2.270050e+00,8.352000e-06,5.289920e-04,1.104000e-05,2.066519e+00,2.012661e-01,4.083166e-02,58982400,0.000000e+00,8.090997e-02,3.424000e-06,1.015264e-03,7.568911e-02,2.473184e-03,3.420800e-05,4.083166e-02,7680,0.000000e+00,4.083166e-02
7680,7680,1000,64,1,0,256,0.000000e+00,2.265804e+00,5.696000e-06,5.429760e-04,1.158400e-05,2.064255e+00,1.992774e-01,4.083166e-02,58982400,0.000000e+00,8.008194e-02,3.488000e-06,9.866240e-04,7.488444e-02,2.486880e-03,3.459200e-05,4.083166e-02,7680,0.000000e+00,4.083166e-02
7680,7680,1000,64,1,0,256,0.000000e+00,2.267686e+00,5.920000e-06,5.437760e-04,1.139200e-05,2.065610e+00,1.997976e-01,4.083166e-02,58982400,0.000000e+00,8.017087e-02,1.088000e-05,9.870400e-04,7.499497e-02,2.460160e-03,3.443200e-05,4.083166e-02,7680,0.000000e+00,4.083166e-02
15360,15360,1000,64,1,0,32,0.000000e+00,2.320121e+01,5.888000e-06,1.572480e-03,1.980800e-05,2.239154e+01,8.047431e-01,2.044706e-02,235929600,0.000000e+00,3.112931e-01,3.072000e-06,2.844224e-03,3.015065e-01,4.052288e-03,5.251200e-05,2.044706e-02,15360,0.000000e+00,2.044706e-02
15360,15360,1000,64,1,0,32,0.000000e+00,2.329873e+01,6.080000e-06,1.806720e-03,1.523200e-05,2.238582e+01,9.074833e-01,2.044706e-02,235929600,0.000000e+00,3.194709e-01,3.424000e-06,3.726880e-03,3.083718e-01,4.046464e-03,5.446400e-05,2.044706e-02,15360,0.000000e+00,2.044706e-02
15360,15360,1000,64,1,0,32,0.000000e+00,2.322808e+01,5.952000e-06,1.624960e-03,1.484800e-05,2.236706e+01,8.559002e-01,2.044706e-02,235929600,0.000000e+00,3.191559e-01,3.296000e-06,3.054592e-03,3.090990e-01,4.045856e-03,5.142400e-05,2.044706e-02,15360,0.000000e+00,2.044706e-02
15360,15360,1000,64,1,0,256,0.000000e+00,9.014665e+00,6.080000e-06,1.669568e-03,1.500800e-05,8.209315e+00,8.005448e-01,2.044706e-02,235929600,0.000000e+00,3.160069e-01,2.976000e-06,2.980960e-03,3.040076e-01,6.073472e-03,5.123200e-05,2.044706e-02,15360,0.000000e+00,2.044706e-02
